"Property Address","Parcel Number","Inspection Date","Grade","License Status","Expiration Date","Latitude","Longitude","georeference"
"1901 North Lincoln Avenue Apt 307","912,106,477,043","2022 Jun 01 12:00:00 AM","Class B","Issued","10/14/2026","40.129684","-88.220085","POINT (-88.220085 40.129684)"
"1901 North Lincoln Avenue Apt 309","912,106,477,045","2022 Jun 01 12:00:00 AM","Class B","Issued","10/14/2026","40.12981912","-88.22008439","POINT (-88.22008439 40.12981912)"
"1901 North Lincoln Avenue Apt 310","912,106,477,046","2022 Jun 01 12:00:00 AM","Class B","Issued","10/14/2026","40.12981691","-88.22018105","POINT (-88.22018105 40.12981691)"
"1901 North Lincoln Avenue Apt 311","912,106,477,047","2022 Jun 01 12:00:00 AM","Class B","Issued","10/14/2026","40.12996883","-88.22008756","POINT (-88.22008756 40.12996883)"
"1901 North Lincoln Avenue Apt 312","912,106,477,048","2022 Jun 01 12:00:00 AM","Class B","Issued","10/14/2026","40.12996884","-88.22018414","POINT (-88.22018414 40.12996884)"
"1901 North Lincoln Avenue Apt 313","912,106,477,049","2022 Jun 01 12:00:00 AM","Class B","Issued","10/14/2026","40.13009901","-88.22009555","POINT (-88.22009555 40.13009901)"
"1901 North Lincoln Avenue Apt 315","912,106,477,051","2022 Jun 01 12:00:00 AM","Class B","Issued","10/14/2026","40.13022195","-88.22009786","POINT (-88.22009786 40.13022195)"
"1901 North Lincoln Avenue Apt 316","912,106,477,052","2022 Jun 01 12:00:00 AM","Class B","Issued","10/14/2026","40.130222","-88.220184","POINT (-88.220184 40.130222)"
"1901 North Lincoln Avenue Apt 317","912,106,477,053","2022 Jun 01 12:00:00 AM","Class B","Issued","10/14/2026","40.130325","-88.2201","POINT (-88.2201 40.130325)"
"1901 North Lincoln Avenue Apt 319","912,106,477,055","2022 Jun 01 12:00:00 AM","Class B","Issued","10/14/2026","40.13046","-88.22007","POINT (-88.22007 40.13046)"
"1901 North Lincoln Avenue Apt 320","912,106,477,056","2022 Jun 01 12:00:00 AM","Class B","Issued","10/14/2026","40.13045739","-88.22019426","POINT (-88.22019426 40.13045739)"
"1903 North Lincoln Avenue Apt 101","912,106,477,057","2022 Jun 01 12:00:00 AM","Class B","Issued","10/14/2026","40.12974448","-88.22082038","POINT (-88.22082038 40.12974448)"
"1903 North Lincoln Avenue Apt 102","912,106,477,058","2022 Jun 01 12:00:00 AM","Class B","Issued","10/14/2026","40.12965373","-88.22081082","POINT (-88.22081082 40.12965373)"
"1903 North Lincoln Avenue Apt 103","912,106,477,059","2022 Jun 01 12:00:00 AM","Class B","Issued","10/14/2026","40.12974931","-88.22099303","POINT (-88.22099303 40.12974931)"
"1903 North Lincoln Avenue Apt 105","912,106,477,061","2022 Jun 01 12:00:00 AM","Class B","Issued","10/14/2026","40.12975609","-88.22115389","POINT (-88.22115389 40.12975609)"
"1903 North Lincoln Avenue Apt 113","912,106,477,067","2022 Jun 01 12:00:00 AM","Class B","Issued","10/14/2026","40.12974582","-88.22175173","POINT (-88.22175173 40.12974582)"
"1903 North Lincoln Avenue Apt 113","912,106,477,067","2022 Jun 01 12:00:00 AM","Class B","Issued","10/14/2026","40.12974582","-88.22175173","POINT (-88.22175173 40.12974582)"
"1903 North Lincoln Avenue Apt 115","912,106,477,069","2022 Jun 30 12:00:00 AM","Class B","Issued","10/14/2026","40.12935902","-88.22173644","POINT (-88.22173644 40.12935902)"
"1903 North Lincoln Avenue Apt 116","912,106,477,070","2022 Jun 30 12:00:00 AM","Class B","Issued","10/14/2026","40.129448","-88.22175","POINT (-88.22175 40.129448)"
"1903 North Lincoln Avenue Apt 120","912,106,477,074","2022 Jun 30 12:00:00 AM","Class B","Pending Renewal","10/14/2025","40.12942","-88.221405","POINT (-88.221405 40.12942)"
"1903 North Lincoln Avenue Apt 121","912,106,477,075","2022 Jun 30 12:00:00 AM","Class B","Issued","10/14/2026","40.12935181","-88.22113831","POINT (-88.22113831 40.12935181)"
"1903 North Lincoln Avenue Apt 122","912,106,477,076","2022 Jun 30 12:00:00 AM","Class B","Pending Renewal","10/14/2025","40.12942497","-88.22113932","POINT (-88.22113932 40.12942497)"
"1903 North Lincoln Avenue Apt 125","912,106,477,077","2022 Jun 30 12:00:00 AM","Class B","Issued","10/14/2026","40.12936063","-88.22097738","POINT (-88.22097738 40.12936063)"
"1903 North Lincoln Avenue Apt 109","912,106,477,081","2022 Jun 30 12:00:00 AM","Class B","Temporarily Not a Rental","10/14/2026","40.12958886","-88.22128395","POINT (-88.22128395 40.12958886)"
"1903 North Lincoln Avenue Apt 203","912,106,477,085","2022 Jun 30 12:00:00 AM","Class B","Issued","10/14/2026","40.12974931","-88.22099303","POINT (-88.22099303 40.12974931)"
"1903 North Lincoln Avenue Apt 204","912,106,477,086","2022 Jun 30 12:00:00 AM","Class B","Issued","10/14/2026","40.12968049","-88.22099323","POINT (-88.22099323 40.12968049)"
"1903 North Lincoln Avenue Apt 205","912,106,477,087","2022 Jun 30 12:00:00 AM","Class B","Issued","10/14/2026","40.12975609","-88.22115389","POINT (-88.22115389 40.12975609)"
"1903 North Lincoln Avenue Apt 207","912,106,477,089","2022 Jun 30 12:00:00 AM","Class B","Issued","10/14/2026","40.129757","-88.22142","POINT (-88.22142 40.129757)"
"1903 North Lincoln Avenue Apt 212","912,106,477,092","2022 Jun 30 12:00:00 AM","Class B","Issued","10/14/2026","40.12968133","-88.22157929","POINT (-88.22157929 40.12968133)"
"1903 North Lincoln Avenue Apt 213","912,106,477,093","2022 Jun 30 12:00:00 AM","Class B","Issued","10/14/2026","40.12974582","-88.22175173","POINT (-88.22175173 40.12974582)"
"1903 North Lincoln Avenue Apt 214","912,106,477,094","2022 Jun 30 12:00:00 AM","Class B","Issued","10/14/2026","40.12966034","-88.22176294","POINT (-88.22176294 40.12966034)"
"1903 North Lincoln Avenue Apt 215","912,106,477,095","2022 Jun 30 12:00:00 AM","Class B","Pending Renewal","10/14/2025","40.12936","-88.22173","POINT (-88.22173 40.12936)"
"1903 North Lincoln Avenue Apt 217","912,106,477,097","2022 Jun 30 12:00:00 AM","Class B","Issued","10/14/2026","40.12935549","-88.22156381","POINT (-88.22156381 40.12935549)"
"1903 North Lincoln Avenue Apt 219","912,106,477,099","2022 Jun 30 12:00:00 AM","Class B","Issued","10/14/2026","40.12934993","-88.22140287","POINT (-88.22140287 40.12934993)"
"1903 North Lincoln Avenue Apt 220","912,106,477,100","2022 Jun 30 12:00:00 AM","Class B","Issued","10/14/2026","40.12942299","-88.22140347","POINT (-88.22140347 40.12942299)"
"1903 North Lincoln Avenue Apt 225","912,106,477,103","2022 Jun 30 12:00:00 AM","Class B","Issued","10/14/2026","40.12936063","-88.22097738","POINT (-88.22097738 40.12936063)"
"1903 North Lincoln Avenue Apt 228","912,106,477,106","2022 Jun 30 12:00:00 AM","Class B","Issued","10/14/2026","40.12945198","-88.22079508","POINT (-88.22079508 40.12945198)"
"1903 North Lincoln Avenue Apt 223","912,106,477,108","2022 Jun 30 12:00:00 AM","Class B","Issued","10/14/2026","40.12953824","-88.22128326","POINT (-88.22128326 40.12953824)"
"1903 North Lincoln Avenue Apt 302","912,106,477,110","2022 Jun 30 12:00:00 AM","Class B","Issued","10/14/2026","40.12965373","-88.22081082","POINT (-88.22081082 40.12965373)"
"1903 North Lincoln Avenue Apt 303","912,106,477,111","2022 Jun 30 12:00:00 AM","Class B","Issued","10/14/2026","40.12975","-88.22099","POINT (-88.22099 40.12975)"
"1903 North Lincoln Avenue Apt 305","912,106,477,113","2022 Aug 19 12:00:00 AM","Class B","Issued","10/14/2026","40.12975609","-88.22115389","POINT (-88.22115389 40.12975609)"
"1903 North Lincoln Avenue Apt 308","912,106,477,116","2022 Jun 30 12:00:00 AM","Class B","Issued","10/14/2026","40.12968362","-88.22141823","POINT (-88.22141823 40.12968362)"
"1903 North Lincoln Avenue Apt 312","912,106,477,118","2022 Jun 30 12:00:00 AM","Class B","Issued","10/14/2026","40.12968133","-88.22157929","POINT (-88.22157929 40.12968133)"
"1903 North Lincoln Avenue Apt 313","912,106,477,119","2022 Jun 30 12:00:00 AM","Class B","Issued","10/14/2026","40.12974582","-88.22175173","POINT (-88.22175173 40.12974582)"
"1903 North Lincoln Avenue Apt 314","912,106,477,120","2022 Jun 30 12:00:00 AM","Class B","Issued","10/14/2026","40.12966034","-88.22176294","POINT (-88.22176294 40.12966034)"
"1903 North Lincoln Avenue Apt 315","912,106,477,121","2022 Jun 30 12:00:00 AM","Class B","Issued","10/14/2026","40.12935902","-88.22173644","POINT (-88.22173644 40.12935902)"
"1903 North Lincoln Avenue Apt 316","912,106,477,122","2022 Jun 30 12:00:00 AM","Class B","Issued","10/14/2026","40.12944969","-88.22174723","POINT (-88.22174723 40.12944969)"
"1903 North Lincoln Avenue Apt 317","912,106,477,123","2022 Jun 30 12:00:00 AM","Class B","Issued","10/14/2026","40.12935549","-88.22156381","POINT (-88.22156381 40.12935549)"
"1903 North Lincoln Avenue Apt 318","912,106,477,124","2022 Jun 30 12:00:00 AM","Class B","Issued","10/14/2026","40.12942431","-88.22156449","POINT (-88.22156449 40.12942431)"
"1903 North Lincoln Avenue Apt 319","912,106,477,125","2022 Jun 30 12:00:00 AM","Class B","Issued","10/14/2026","40.12934993","-88.22140287","POINT (-88.22140287 40.12934993)"
"1903 North Lincoln Avenue Apt 322","912,106,477,128","2022 Aug 19 12:00:00 AM","Class B","Issued","10/14/2026","40.12942497","-88.22113932","POINT (-88.22113932 40.12942497)"
"1903 North Lincoln Avenue Apt 325","912,106,477,129","2022 Jun 30 12:00:00 AM","Class B","Issued","10/14/2026","40.12936063","-88.22097738","POINT (-88.22097738 40.12936063)"
"1903 North Lincoln Avenue Apt 328","912,106,477,132","2022 Jun 30 12:00:00 AM","Class B","Issued","10/14/2026","40.12945198","-88.22079508","POINT (-88.22079508 40.12945198)"
"1905 North Lincoln Avenue Apt 101","912,106,477,133","2022 Mar 09 12:00:00 AM","Class A","Issued","10/14/2026","40.13047915","-88.22081833","POINT (-88.22081833 40.13047915)"
"1905 North Lincoln Avenue Apt 102","912,106,477,134","2022 Jun 30 12:00:00 AM","Class B","Issued","10/14/2026","40.13038841","-88.22080878","POINT (-88.22080878 40.13038841)"
"1905 North Lincoln Avenue Apt 104","912,106,477,136","2022 Jun 30 12:00:00 AM","Class B","Issued","10/14/2026","40.130417","-88.22099","POINT (-88.22099 40.130417)"
"1905 North Lincoln Avenue Apt 106","912,106,477,138","2022 Jun 30 12:00:00 AM","Class B","Pending Renewal","10/14/2025","40.1304177","-88.22115218","POINT (-88.22115218 40.1304177)"
"1905 North Lincoln Avenue Apt 108","912,106,477,140","2022 Jun 30 12:00:00 AM","Class B","Issued","10/14/2026","40.1304183","-88.22141619","POINT (-88.22141619 40.1304183)"
"1905 North Lincoln Avenue Apt 111","912,106,477,141","2022 Jun 30 12:00:00 AM","Class B","Issued","10/14/2026","40.13048438","-88.22157693","POINT (-88.22157693 40.13048438)"
"1905 North Lincoln Avenue Apt 114","912,106,477,144","2022 Jun 30 12:00:00 AM","Class B","Issued","10/14/2026","40.13039502","-88.22176091","POINT (-88.22176091 40.13039502)"
"1905 North Lincoln Avenue Apt 118","912,106,477,148","2022 Jun 30 12:00:00 AM","Class B","Issued","10/14/2026","40.13015","-88.22158","POINT (-88.22158 40.13015)"
"1905 North Lincoln Avenue Apt 121","912,106,477,151","2022 Jun 30 12:00:00 AM","Class B","Issued","10/14/2026","40.13007741","-88.2211514","POINT (-88.2211514 40.13007741)"
"1905 North Lincoln Avenue Apt 122","912,106,477,152","2022 Jun 03 12:00:00 AM","Class B","Pending Renewal","10/14/2025","40.13015057","-88.22115241","POINT (-88.22115241 40.13015057)"
"1905 North Lincoln Avenue Apt 125","912,106,477,153","2022 Jun 30 12:00:00 AM","Class B","Issued","10/14/2026","40.13008624","-88.22099047","POINT (-88.22099047 40.13008624)"
"1905 North Lincoln Avenue Apt 126","912,106,477,154","2022 Jun 30 12:00:00 AM","Class B","Issued","10/14/2026","40.13015461","-88.22099141","POINT (-88.22099141 40.13015461)"
"1905 North Lincoln Avenue Apt 109","912,106,477,157","2022 Jun 30 12:00:00 AM","Class B","Issued","10/14/2026","40.130318","-88.22128","POINT (-88.22128 40.130318)"
"1905 North Lincoln Avenue Apt 201","912,106,477,159","2022 Jun 30 12:00:00 AM","Class B","Issued","10/14/2026","40.13047915","-88.22081833","POINT (-88.22081833 40.13047915)"
"1905 North Lincoln Avenue Apt 203","912,106,477,161","2022 Jun 30 12:00:00 AM","Class B","Issued","10/14/2026","40.13048399","-88.22099099","POINT (-88.22099099 40.13048399)"
"1905 North Lincoln Avenue Apt 207","912,106,477,165","2022 Jun 30 12:00:00 AM","Class B","Issued","10/14/2026","40.13049146","-88.22141586","POINT (-88.22141586 40.13049146)"
"1905 North Lincoln Avenue Apt 208","912,106,477,166","2022 Jun 30 12:00:00 AM","Class B","Issued","10/14/2026","40.1304183","-88.22141619","POINT (-88.22141619 40.1304183)"
"1905 North Lincoln Avenue Apt 211","912,106,477,167","2022 Jun 30 12:00:00 AM","Class B","Issued","10/14/2026","40.13048438","-88.22157693","POINT (-88.22157693 40.13048438)"
"1905 North Lincoln Avenue Apt 212","912,106,477,168","2022 Jun 30 12:00:00 AM","Class B","Issued","10/14/2026","40.130417","-88.22158","POINT (-88.22158 40.130417)"
"1905 North Lincoln Avenue Apt 214","912,106,477,170","2022 Jun 30 12:00:00 AM","Class B","Issued","10/14/2026","40.13039502","-88.22176091","POINT (-88.22176091 40.13039502)"
"1905 North Lincoln Avenue Apt 217","912,106,477,173","2022 Jun 30 12:00:00 AM","Class B","Issued","10/14/2026","40.13008109","-88.2215769","POINT (-88.2215769 40.13008109)"
"1905 North Lincoln Avenue Apt 218","912,106,477,174","2022 Jun 30 12:00:00 AM","Class B","Issued","10/14/2026","40.13014992","-88.22157758","POINT (-88.22157758 40.13014992)"
"1905 North Lincoln Avenue Apt 219","912,106,477,175","2022 Jun 30 12:00:00 AM","Class B","Issued","10/14/2026","40.13007553","-88.22141596","POINT (-88.22141596 40.13007553)"
"1905 North Lincoln Avenue Apt 220","912,106,477,176","2022 Jun 30 12:00:00 AM","Class B","Issued","10/14/2026","40.13014859","-88.22141656","POINT (-88.22141656 40.13014859)"
"1905 North Lincoln Avenue Apt 221","912,106,477,177","2022 Jun 30 12:00:00 AM","Class B","Issued","10/14/2026","40.13007741","-88.2211514","POINT (-88.2211514 40.13007741)"
"1905 North Lincoln Avenue Apt 226","912,106,477,180","2022 Jun 30 12:00:00 AM","Class B","Issued","10/14/2026","40.13015461","-88.22099141","POINT (-88.22099141 40.13015461)"
"1905 North Lincoln Avenue Apt 227","912,106,477,181","2022 Jun 30 12:00:00 AM","Class B","Issued","10/14/2026","40.130092","-88.22081786","POINT (-88.22081786 40.130092)"
"1905 North Lincoln Avenue Apt 228","912,106,477,182","2022 Jun 24 12:00:00 AM","Class A","Issued","10/14/2026","40.13017759","-88.22080816","POINT (-88.22080816 40.13017759)"
"1905 North Lincoln Avenue Apt 209","912,106,477,183","2022 Jun 30 12:00:00 AM","Class B","Issued","10/14/2026","40.13031729","-88.22128333","POINT (-88.22128333 40.13031729)"
"1905 North Lincoln Avenue Apt 223","912,106,477,184","2022 Jun 30 12:00:00 AM","Class B","Temporarily Not a Rental","10/14/2024","40.13026667","-88.22128264","POINT (-88.22128264 40.13026667)"
"1905 North Lincoln Avenue Apt 301","912,106,477,185","2022 Jun 30 12:00:00 AM","Class B","Issued","10/14/2026","40.13047915","-88.22081833","POINT (-88.22081833 40.13047915)"
"1905 North Lincoln Avenue Apt 303","912,106,477,187","2022 Jun 30 12:00:00 AM","Class B","Issued","10/14/2026","40.13048399","-88.22099099","POINT (-88.22099099 40.13048399)"
"1905 North Lincoln Avenue Apt 306","912,106,477,190","2022 Jun 30 12:00:00 AM","Class B","Issued","10/14/2026","40.1304177","-88.22115218","POINT (-88.22115218 40.1304177)"
"1905 North Lincoln Avenue Apt 312","912,106,477,194","2022 Jun 30 12:00:00 AM","Class B","Issued","10/14/2026","40.130417","-88.22158","POINT (-88.22158 40.130417)"
"1905 North Lincoln Avenue Apt 314","912,106,477,196","2022 Jun 30 12:00:00 AM","Class B","Issued","10/14/2026","40.130394","-88.22176","POINT (-88.22176 40.130394)"
"1905 North Lincoln Avenue Apt 316","912,106,477,198","2022 Jun 30 12:00:00 AM","Class B","Issued","10/14/2026","40.13017529","-88.22176032","POINT (-88.22176032 40.13017529)"
"1905 North Lincoln Avenue Apt 317","912,106,477,199","2022 Jun 30 12:00:00 AM","Class B","Issued","10/14/2026","40.13008109","-88.2215769","POINT (-88.2215769 40.13008109)"
"1905 North Lincoln Avenue Apt 318","912,106,477,200","2022 Jun 30 12:00:00 AM","Class B","Pending Renewal","10/14/2025","40.13015","-88.22158","POINT (-88.22158 40.13015)"
"1905 North Lincoln Avenue Apt 319","912,106,477,201","2022 Jun 30 12:00:00 AM","Class B","Issued","10/14/2026","40.13007553","-88.22141596","POINT (-88.22141596 40.13007553)"
"1905 North Lincoln Avenue Apt 320","912,106,477,202","2022 Jun 30 12:00:00 AM","Class B","Issued","10/14/2026","40.13014859","-88.22141656","POINT (-88.22141656 40.13014859)"
"1905 North Lincoln Avenue Apt 322","912,106,477,204","2022 Jun 30 12:00:00 AM","Class B","Expired","10/14/2023","40.13015057","-88.22115241","POINT (-88.22115241 40.13015057)"
"1905 North Lincoln Avenue Apt 326","912,106,477,206","2022 Jun 30 12:00:00 AM","Class B","Issued","10/14/2026","40.13015461","-88.22099141","POINT (-88.22099141 40.13015461)"
"1905 North Lincoln Avenue Apt 327","912,106,477,207","2022 Jun 30 12:00:00 AM","Class B","Issued","10/14/2026","40.130093","-88.22082","POINT (-88.22082 40.130093)"
"1905 North Lincoln Avenue Apt 328","912,106,477,208","2022 Jun 30 12:00:00 AM","Class B","Issued","10/14/2026","40.13017759","-88.22080816","POINT (-88.22080816 40.13017759)"
"1405 Bradley Avenue","912,107,201,001","2012 Feb 17 12:00:00 AM","Class B","Issued",,"40.1271","-88.2289","POINT (-88.2289 40.1271)"
"1405 West Bradley Avenue","912,107,201,001","2022 Jul 18 12:00:00 AM","Class B","Issued","10/14/2026","40.12712832","-88.22888958","POINT (-88.22888958 40.12712832)"
"1505 Carver Drive","912,107,201,003","2022 Apr 07 12:00:00 AM","Class B","Issued","10/14/2026","40.12678035","-88.2288802","POINT (-88.2288802 40.12678035)"
"1505 Carver Drive","912,107,201,003","2022 Jul 18 12:00:00 AM","Class B","Issued","10/14/2026","40.12678035","-88.2288802","POINT (-88.2288802 40.12678035)"
"1503 North Carver Drive","912,107,201,004","2022 Jul 18 12:00:00 AM","Class A","Issued","10/14/2026","40.12660491","-88.22887723","POINT (-88.22887723 40.12660491)"
"1403 West Bradley Avenue","912,107,202,001","2022 Apr 20 12:00:00 AM","Class B","Issued","10/14/2026","40.12713492","-88.22829883","POINT (-88.22829883 40.12713492)"
"1403 West Bradley Avenue","912,107,202,001","2025 Oct 22 12:00:00 AM","Class B","Issued","10/14/2026","40.12713492","-88.22829883","POINT (-88.22829883 40.12713492)"
"1504 North Carver Drive","912,107,202,004","2022 Jul 18 12:00:00 AM","Class B","Issued","10/14/2026","40.12664355","-88.22829281","POINT (-88.22829281 40.12664355)"
"1507 North Romine Street","912,107,202,007","2011 Jul 27 12:00:00 AM","Class B","Expired",,"40.127","-88.2279","POINT (-88.2279 40.127)"
